bridge_id,factor_id,factor_name,process_id,process_name,weight
76,38,Reports lack credibility due to low support from the leadership,24,Data Literacy Project,0.5
77,39,Users have job security concerns against your BI service,22,Self-service BI framework,0.5
78,39,Users have job security concerns against your BI service,24,Data Literacy Project,0.5
79,40,"Reports are perceived as ""extra work"", not as tools for improving efficiency",22,Self-service BI framework,0.5
80,40,"Reports are perceived as ""extra work"", not as tools for improving efficiency",24,Data Literacy Project,0.5
81,41,Users have alternative tools or processes they prefer over BI reports,12,Monitoring strategy,0.3
82,41,Users have alternative tools or processes they prefer over BI reports,20,Trust check,0.2
83,41,Users have alternative tools or processes they prefer over BI reports,24,Data Literacy Project,0.3
84,41,Users have alternative tools or processes they prefer over BI reports,10,Report release / Promotion,0.2
85,42,Users lack motivation to make data-driven decision due to the current workflow and management approach,20,Trust check,0.5
86,42,Users lack motivation to make data-driven decision due to the current workflow and management approach,24,Data Literacy Project,0.5
87,43,Users have methodological concerns and disagree with business logic within the reports,19,Data Quality check,0.3
88,43,Users have methodological concerns and disagree with business logic within the reports,20,Trust check,0.3
89,43,Users have methodological concerns and disagree with business logic within the reports,23,Data Quality Management,0.4
90,44,"Users are skeptical of automated insights due to the ""black box"" effect and prefer manual data manipulation",23,Data Quality Management,0.5
91,44,"Users are skeptical of automated insights due to the ""black box"" effect and prefer manual data manipulation",24,Data Literacy Project,0.5
92,45,User's don't have enough skills to work with information,24,Data Literacy Project,1
